"","blog.txt","news.txt","twitter.txt"
"bell peppers",2,1,2
"ben s",4,2,3
"bench press",1,1,2
"berry farm",2,1,1
"best actor",3,1,2
"best answer",2,1,4
"best best",2,1,5
"best bet",3,2,2
"best buy",3,2,8
"best can",21,3,6
"best case",3,1,2
"best chance",3,3,3
"best deals",2,1,4
"best decision",4,1,1
"best defense",1,1,1
"best dressed",1,1,2
"best ever",6,1,10
"best everything",2,2,2
"best family",2,1,2
"best films",2,2,1
"best first",2,1,3
"best friend",53,3,90
"best friends",21,2,40
"best game",2,1,3
"best get",4,1,3
"best gift",3,2,3
"best interest",8,1,3
"best job",2,2,2
"best just",2,1,1
"best known",8,5,1
"best line",1,1,3
"best part",29,2,30
"best picture",3,2,4
"best play",1,1,1
"best players",1,2,4
"best record",1,1,2
"best results",2,1,1
"best save",1,1,1
"best seller",7,1,1
"best show",2,1,21
"best thing",22,1,30
"best time",16,2,20
"best track",1,1,1
"best ve",4,1,3
"best way",31,6,36
"best way learn",2,1,1
"best ways",1,1,3
"best world",1,1,1
"best year",2,1,5
"bet know",1,1,3
"bet will",1,1,1
"better anyone",3,2,1
"better care",2,1,2
"better days",3,1,1
"better done",1,1,1
"better ever",3,1,3
"better expected",3,2,2
"better get",12,2,20
"better give",1,1,1
"better got",1,1,2
"better health",2,1,2
"better job",7,2,5
"better job keeping",1,1,1
"better nothing",4,1,5
"better now",12,2,18
"better part",13,1,5
"better people",6,1,6
"better person",10,1,6
"better quality",4,1,2
"better re",2,1,2
"better reason",1,1,1
"better served",1,1,1
"better situation",1,1,1
"better start",2,1,4
"better support",1,1,2
"better time",6,1,9
"better tomorrow",1,1,5
"better understanding",8,1,2
"better way",12,1,18
"better working",1,1,1
"better yet",15,2,6
"beverly hills",3,3,8
"beyond control",3,1,3
"big 10",3,1,3
"big city",11,3,4
"big day",12,1,22
"big deal",31,1,27
"big difference",3,5,2
"big enough",5,3,8
"big events",1,1,1
"big fan",10,1,40
"big game",5,2,10
"big heart",1,1,2
"big hit",4,1,5
"big house",2,1,2
"big kids",4,1,1
"big ll",1,1,2
"big mama",2,1,1
"big man",4,1,9
"big name",2,1,1
