"","blog.txt","news.txt","twitter.txt"
"better yet",20,2,16
"better youre",2,1,5
"beverly hills",6,3,13
"beyond control",4,1,3
"beyond repair",2,1,1
"big area",1,1,1
"big baby",2,1,3
"big band",2,1,7
"big bank",1,1,3
"big banks",1,2,2
"big bend",2,1,1
"big challenge",1,1,1
"big change",7,1,3
"big chunks",1,1,1
"big cities",1,1,1
"big city",14,2,11
"big day",17,1,49
"big deal",67,1,47
"big difference",14,5,7
"big double",1,1,1
"big enough",18,3,16
"big events",2,1,2
"big fail",1,1,3
"big fail banks",1,1,1
"big fan",16,1,72
"big game",3,1,31
"big games",1,1,4
"big going",3,1,2
"big heart",2,1,4
"big house",5,1,2
"big kids",5,1,1
"big league",2,1,2
"big letters",1,1,1
"big mama",2,1,2
"big man",6,1,15
"big men",2,2,2
"big news",14,1,20
"big o",2,1,1
"big oil",4,1,2
"big one",10,1,16
"big part",17,1,10
"big party",6,1,7
"big picture",13,1,7
"big place",2,1,1
"big plans",7,1,15
"big pot",2,1,1
"big problem",10,1,2
"big projects",2,1,2
"big push",1,1,2
"big red",7,1,8
"big screen",11,2,24
"big sky",2,1,1
"big smile",6,2,5
"big ten",1,7,19
"big thanks",9,1,45
"big time",22,1,46
"big toes",1,1,1
"big trip",2,1,3
"big us",1,2,1
"bigger government",1,1,1
"bigger picture",4,1,2
"biggest concern",1,1,1
"biggest difference",2,1,3
"biggest issue",5,1,1
"biggest mistake",3,2,3
"biggest problem",11,1,3
"biggest thing",7,3,5
"bill already",1,1,1
"bill can",1,2,1
"bill clinton",5,1,9
"bill passed",1,1,1
"bill will",4,2,2
"billboards top",1,1,1
"billie jean",1,1,2
"billion annually",1,1,1
"billion billion",2,2,1
"billion dollars",6,1,11
"billion people",5,1,6
"billion years",8,2,3
"billions dollars",6,2,1
"billy joel",5,1,3
"bin laden",32,8,26
"bin ladens",2,3,4
"bipartisan support",1,2,2
"birth certificate",15,1,3
"birth child",3,1,1
"birth control",30,2,11
"birthday boy",5,1,1
"birthday celebrations",2,1,2
"birthday even",2,1,1
"birthday just",4,1,6
"birthday may",1,1,7
"birthday present",13,1,14
"bit different",19,2,1
"bit everything",3,1,2
"bit first",5,1,1
"bit go",2,1,1
"bit higher",2,1,1
"bit like",33,2,8
"bit much",16,1,7
"bit now",6,2,2
"bitter sweet",2,1,4
"black belt",2,1,3
"black caucus",2,1,1
"black cod",2,1,1
